Model,Pitch Similarity (L1 ↓),Rhythm Diversity (↑),Repetition Ratio (0.1–0.5 ideal),#Samples
Random Generator,1.5965165464045783,1.0,0.0,10
Markov Chain,0.34707800149378587,0.09321070458721947,0.0,10
Task 1: Autoencoder,0.21544129426167657,0.03410431306013635,0.0,5
Task 2: VAE,0.2860336336505982,0.272092781913565,0.0062743664717348924,8
Task 3: Transformer,1.3663843333292474,0.018485814879859078,0.12655814393466253,10
Task 4: RLHF-Tuned,1.3168147481510892,0.08867048455054198,0.10243670409950674,10
